14,75,4,5,3
44,75,0,5,1
65,75,9,4,1
69,75,0,5,1
93,75,3,5,2
53,73,5,4,3
5,71,1,4,1
31,71,6,5,3
86,70,4,5,3
49,69,1,5,1
77,69,3,4,2
8,68,7,5,1
19,68,4,5,3
1,67,3,4,2
70,67,6,4,3
24,66,9,5,1
47,66,5,5,3
55,66,9,5,1
26,65,7,5,4
72,65,5,4,3
80,65,1,4,1
97,65,3,4,2
9,64,10,4,1
23,64,4,4,3
57,64,0,5,1
67,63,8,4,4
82,63,5,5,3
61,61,5,4,3
40,60,2,4,2
63,60,0,4,1
81,58,4,5,3
39,56,0,4,1
66,56,2,4,2
13,55,10,4,1
42,55,0,5,1
64,55,3,4,2
89,55,6,4,3
6,53,6,4,3
52,53,4,4,3
71,53,1,4,1
16,52,1,4,1
46,52,1,4,1
94,52,3,4,2
12,50,9,4,1
29,50,1,4,1
32,50,4,4,3
83,50,7,3,4
48,49,8,3,4
27,48,10,3,1
25,47,8,3,4
37,47,1,3,1
3,46,4,3,3
4,46,10,3,1
91,46,8,3,4
36,45,4,3,3
87,45,0,3,1
88,45,5,3,3
43,42,3,3,2
95,42,2,3,2
30,41,1,3,1
76,41,8,3,4
21,40,4,3,3
35,40,9,3,1
96,40,9,3,1
7,38,10,3,1
10,38,7,3,4
11,38,1,3,1
34,38,5,3,3
68,37,10,3,5
20,36,5,3,3
85,36,9,3,5
92,36,4,1,3
15,32,0,3,5
51,32,9,3,5
50,30,0,3,5
28,29,3,3,2
99,29,9,3,5
2,28,3,4,2
79,28,9,4,5
17,27,9,4,5
54,26,1,3,5
75,26,10,2,5
22,25,2,4,2
84,25,3,3,2
100,25,10,1,5
98,24,9,3,5
56,23,7,1,4
78,23,4,2,3
59,22,9,2,5
60,22,8,3,4
73,22,1,1,5
33,21,1,2,5
45,21,8,1,4
58,21,0,3,5
41,20,9,2,5
18,19,5,1,3
90,19,4,2,3
38,18,10,1,5
62,18,4,2,3
74,18,6,4,3
